Dataset,Auto-Sklearn,AutoGluon,AutoWEKA,H2O,TPOT
task_10101,0.761,0.782,0.755,0.747,0.779
task_12,0.976,0.981,0.977,0.98,0.97
task_146195,0.838,0.869,0.704,0.865,0.86
task_146212,1.0,1.0,0.999,1.0,1.0
task_146606,0.728,0.733,0.607,0.721,0.723
task_146818,0.0,0.867,0.865,0.874,0.862
task_146821,0.992,0.999,0.855,0.998,0.998
task_146822,0.982,0.987,0.983,0.987,0.981
task_146825,0.88,0.901,0.848,0.897,0.769
task_14965,0.905,0.911,0.898,0.908,0.906
task_167119,0.907,0.988,0.754,0.909,0.927
task_167120,0.519,0.511,0.52,0.505,0.052
task_168329,0.216,0.37,0.275,0.184,0.324
task_168330,0.0,0.731,0.644,0.725,0.709
task_168331,0.68,0.748,0.622,0.71,0.659
task_168332,0.457,0.491,0.0,0.49,0.0
task_168335,0.943,0.949,0.91,0.948,0.937
task_168337,0.816,0.852,0.0,0.838,0.679
task_168338,0.0,0.998,0.0,0.998,0.0
task_168868,0.994,0.995,0.99,0.994,0.991
task_168908,0.75,0.745,0.71,0.736,0.732
task_168909,0.986,0.993,0.979,0.985,0.941
task_168910,0.71,0.744,0.587,0.733,0.677
task_168911,0.824,0.827,0.811,0.822,0.828
task_168912,0.95,0.958,0.939,0.93,0.958
task_189354,0.664,0.658,0.0,0.616,0.643
task_189355,0.0,0.834,0.182,0.0,0.217
task_189356,0.684,0.69,0.626,0.665,0.654
task_3,0.996,0.997,0.961,0.996,0.796
task_31,0.0,0.762,0.724,0.766,0.755
task_34539,0.95,0.953,0.947,0.952,0.95
task_3917,0.845,0.868,0.859,0.816,0.858
task_3945,0.982,0.982,0.98,0.973,0.982
task_53,0.826,0.872,0.794,0.838,0.855
task_7592,0.86,0.875,0.862,0.865,0.871
task_7593,0.966,0.977,0.643,0.885,0.756
task_9952,0.904,0.92,0.905,0.909,0.915
task_9977,0.987,0.981,0.981,0.973,0.985
task_9981,0.951,0.946,0.815,0.956,0.951
